Frequency (rad/s),Epsilon_r1_real,Epsilon_r1_imag,Epsilon_r2_real,Epsilon_r2_imag
20219220.618983515,99.133589829325,-99.34428925617668,59.826717965865,-19.868857851235337
21544346.900318824,94.31375759085662,-95.47109659940517,58.86275151817132,-19.094219319881034
22956319.242369097,89.87287931759892,-91.53345467272564,57.97457586351978,-18.306690934545127
24460829.357967954,85.79958216289901,-87.56874703732261,57.159916432579806,-17.51374940746452
26063941.98314347,82.07887516045623,-83.61019410666334,56.41577503209125,-16.722038821332667
27772119.32429355,78.69306711502364,-79.68672836983998,55.73861342300473,-15.937345673967995
29592247.107579514,75.62260131204586,-75.82303495650521,55.12452026240917,-15.16460699130104
31531662.335543614,72.84678781260791,-72.03971987589658,54.56935756252158,-14.407943975179316
33598182.862837814,70.34442473589904,-68.35357025159767,54.06888494717981,-13.670714050319535
35800138.91028573,68.09430823809899,-64.77787484094712,53.618861647619795,-12.955574968189424
38146406.64431174,66.07563687592564,-61.32277813353525,53.215127375185126,-12.26455562670705
40646443.95709628,64.26831992888842,-57.99564663514832,52.853663985777686,-11.599129327029663
43310328.59168992,62.65320140247545,-54.80143104780437,52.53064028049509,-10.960286209560874
46148798.76576934,61.21221223919765,-51.743012634582826,52.24244244783953,-10.348602526916565
49173296.45779016,59.92846310197348,-48.82152594835724,51.985692620394694,-9.764305189671449
52396013.53002634,58.786289291559854,-46.03665325992958,51.757257858311974,-9.207330651985917
55829940.87441914,57.77125818044533,-43.386888473410885,51.55425163608906,-8.677377694682177
59488920.779343314,56.87014818963973,-40.86977013958264,51.37402963792795,-8.173954027916528
63387702.728384875,56.07090694417856,-38.48208446692777,51.21418138883571,-7.696416893385555
67542002.8560558,55.36259491185038,-36.22004008520685,51.07251898237008,-7.24400801704137
71968567.30011514,54.73531961396593,-34.07941683252623,50.947063922793184,-6.815883366505246
76685239.7058701,54.180164425436466,-32.05569109745464,50.83603288508729,-6.411138219490928
81711033.15457186,53.689115063105874,-30.144140323247473,50.73782301262118,-6.0288280646494945
87066206.80585118,53.25498609256344,-28.339929228529837,50.650997218512686,-5.667985845705967
92772347.5631406,52.871349153278494,-26.63818016230822,50.5742698306557,-5.327636032461644
98852457.0912826,52.53246409458917,-25.03402982455901,50.506492818917835,-5.006805964911802
105331044.53709382,52.23321381411376,-23.522674371526968,50.446642762822755,-4.704534874305394
112234225.3266415,51.96904327894371,-22.09940470468772,50.39380865578874,-4.419880940937544
119589826.43749769,51.73590297304753,-20.759633525909077,50.347180594609505,-4.151926705181816
127427498.57031322,51.530196837813605,-19.498915536279107,50.30603936756272,-3.8997831072558213
135778835.67189276,51.348734644554135,-18.312961966790425,50.26974692891083,-3.662592393358085
144677502.2915648,51.18868864788422,-17.197650457822586,50.23773772957684,-3.4395300915645173
154159369.28422734,51.047554308686074,-16.149031151802024,50.209510861737215,-3.2298062303604045
164262658.4070927,50.923114837921055,-15.163329729194503,50.18462296758421,-3.0326659458389007
175028096.39300975,50.81340929225013,-14.236948001092577,50.16268185845003,-2.8473896002185155
186499079.12142944,50.716703944796755,-13.366462570729105,50.14334078895935,-2.673292514145821
198721846.54880533,50.631466655914046,-12.548621989723813,50.12629333118281,-2.5097243979447628
211745669.10357118,50.55634397676408,-11.780342761165308,50.111268795352814,-2.3560685522330616
